time,temp_celsius
0.0,2293.72119702091
1.0,2293.7256784956635
2.0,2293.7158192600773
3.0,2293.7099933634395
4.0,2293.7185081392827
5.0,2293.7153711137794
6.0,2293.7185081392827
7.0,2293.718059992581
8.0,2293.7167155528737
9.0,2293.709097072657
10.0,2293.72164516808
11.0,2293.716267406444
12.0,2293.7077526369917
13.0,2293.7207488738004
14.0,2293.712682237397
15.0,2293.7189562860494
16.0,2293.719852579793
17.0,2293.7234377574455
18.0,2293.7203007267635
19.0,2293.7153711137794
20.0,2293.716267406444
21.0,2293.714026675285
22.0,27.029714013465494
23.0,25.374545984770727
24.0,25.382846609471933
25.0,2147.4037618115726
26.0,2293.7104415089307
27.0,2293.72164516808
28.0,2293.71447482138
29.0,1758.968047787682
30.0,26.962257878692526
31.0,1141.8002974043786
32.0,25.973180053072724
33.0,26.172957983027985
34.0,26.181252456685794
35.0,26.245762840695555
36.0,26.280320378959207
37.0,26.410707457132176
38.0,26.442725884959664
39.0,26.473130987651086
40.0,26.509523838694523
41.0,26.5228829291917
42.0,26.54683674277277
43.0,26.564801751007153
44.0,26.576087307009757
45.0,26.584608974476012
46.0,26.60096117324346
47.0,26.59658525723003
48.0,26.60234303773819
49.0,26.59451244865831
50.0,26.597045880811486
51.0,26.5979671273792
52.0,26.652779869633058
53.0,26.72946693046152
54.0,26.846214137416624
55.0,2293.7073044919002
56.0,2293.725230347882
57.0,2293.705960057041
58.0,2293.727022939405
59.0,27.39822997809561
60.0,27.47026097606099
61.0,27.530091321804854
62.0,27.586696932967005
63.0,27.60303376408759
64.0,27.6409986689835
65.0,27.700359255239828
66.0,27.779271485762187
67.0,27.869909782365944
68.0,27.96008030260795
69.0,28.0592130215512
70.0,28.15626670244568
71.0,28.238134459606734
72.0,28.342759601268092
73.0,28.41955477441963
74.0,28.51473626839558
75.0,28.587151235458304
76.0,28.664158539456487
77.0,28.749664558001008
78.0,28.8186159881714
79.0,28.885034946413587
80.0,28.94777289704607
81.0,29.009358178156013
82.0,29.074386500185025
83.0,29.132977496404962
84.0,29.170428077631076
85.0,29.232919342258697
86.0,29.275190748025494
87.0,29.325500704751047
88.0,29.373051747816834
89.0,29.408885901351884
90.0,29.444259449630383
91.0,29.482388050825605
92.0,29.521204308333314
93.0,29.546927905539885
94.0,29.55542574185173
95.0,29.57242120921593
96.0,29.571961875858538
97.0,29.563923509743653
98.0,29.531539757553578
99.0,29.52235269657788
100.0,29.49938469428676
