seconds,temp_deg
0,24.284537826741197
1,24.27922930114158
2,24.27022782937477
3,24.278536882862394
4,24.27761365780933
5,24.267919747777402
6,24.253378721907616
7,24.255456023132073
8,24.24576191706097
9,24.246223543104147
10,24.241376459952846
11,24.236067725238396
12,24.23768342983005
13,24.23976076080529
14,24.223142002767002
15,24.221757094890915
16,24.22221873104401
17,24.21113940971919
18,24.20259902311882
19,24.206061350028207
20,24.191750328012485
21,24.204214777037016
22,24.183209790411052
23,24.180439872042214
24,24.188980431212453
25,24.15250947100129
26,24.169821786831044
27,24.18413309497955
28,24.218756455157518
29,24.275305591772597
30,24.373624894430144
31,24.446550876942176
32,24.540009025322377
33,24.63207478579882
34,24.736360443243594
35,24.847787400032637
36,24.96266286997764
37,25.064149161736065
38,25.178771124712796
39,25.26824624318544
40,25.39299173090058
41,25.492593320473958
42,25.578123466007483
43,25.680704590452716
44,25.761840498753397
45,25.858642392932815
46,25.93169900955111
47,26.027333450963617
48,26.11812068326567
49,26.172957983027985
50,26.22940521760871
51,26.2683405584837
52,26.29276082008112
53,26.330081277215264
54,26.37315944824022
55,26.390897015236174
56,26.41577518573684
57,26.42107324000161
58,26.449405867899173
59,26.451939643629107
